file,line,original_excerpt,replacement,confidence
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,200,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,200,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,202,will be created,is created,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,202,will be created,is created,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,202,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,205,will be created,is created,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,205,will be created,is created,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,205,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,206,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,259,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,48,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,52,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,136,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,136,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,192,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,195,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,197,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,198,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,236,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,236,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,339,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,360,we will,we,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,362,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,375,we will,we,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,395,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,425,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,425,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,457,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment_engage.md,43,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment_engage.md,66,will appear,appears,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment_engage.md,67,will appear,appears,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment_engage.md,87,will appear,appears,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment_for_currents.md,32,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment_for_currents.md,35,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment_for_currents.md,35,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_cohort_import.md,19,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_cohort_import.md,41,will be added,is added,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_user_profile_api.md,30,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_user_profile_api.md,38,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_for_currents.md,28,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_for_currents.md,34,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_for_currents.md,42,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_for_currents.md,42,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_for_currents.md,51,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_for_currents.md,51,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_for_currents.md,70,will appear,appears,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_audiences.md,42,will receive,receives,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_audiences.md,58,will update,updates,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_audiences.md,56,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/adobe/adobe.md,15,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/adobe/adobe.md,59,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/adobe/event_forwarding_extension.md,50,will be,is,rerun
